impact_method,characterization,reference,unit
ECOINDICATOR 99 (I.I),Damage to Resources caused by extraction of fossil fuels (I.I),Damage to Resources caused by extraction of fossil fuels (I.I),MJ surplus energy
ILCD recommended CF,Climate change midpoint,Global warming potential 100 years,kg CO2-Equivalents
ILCD recommended CF,"Climate change endpoint, human health",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,"Climate change endpoint, ecosystems",Potentially Disappeared Fraction of species (PDF),PDF
ILCD recommended CF,Ozone depletion midpoint,Ozone Depletion Potential (ODP),kg CFC11-Equivalents
ILCD recommended CF,"Ozone depletion endpoint, human health",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,"Human toxicity midpoint, cancer effects",Comparative Toxic Unit for human (CTUh),CTUh/kg = cases
ILCD recommended CF,"Human toxicity midpoint, non-cancer effects",Comparative Toxic Unit for human (CTUh),CTUh = cases
ILCD recommended CF,"Human toxicity endpoint, cancer effects",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,"Human toxicity endpoint, non-cancer effects",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,Particulate matter/Respiratory inorganics midpoint,emission-weighed average PM2.5 equivalent,kg PM2.5-eq
ILCD recommended CF,Particulate matter/Respiratory inorganics endpoint,Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,"Ionizing radiation midpoint, human health",?,?
ILCD recommended CF,"Ionizing radiation midpoint, ecosystems",?,?
ILCD recommended CF,"Ionizing radiation endpoint, human health",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,"Ionizing radiation endpoint, ecosystems",Potentially Disappeared Fraction of species (PDF),PDF.m3.yr
ILCD recommended CF,"Photochemical ozone formation midpoint, human health",Photochemical ozone creation potential (POCP),kg-C2H4 equivalents
ILCD recommended CF,"Photochemical ozone formation endpoint, human health",Disability Adjusted Life Years (DALY),DALY
ILCD recommended CF,Acidification midpoint,Accumulated Exceedance (AE),Accumulated Exceedance (AE)
ILCD recommended CF,Acidification endpoint,Change in potentially not occuring fraction of plant species per change in base saturation,PDF
ILCD recommended CF,Eutrophication terrestrial midpoint,Accumulated Exceedance (AE),Accumulated Exceedance (AE)
ILCD recommended CF,Eutrophication freshwater midpoint,Potentially Disappeared Fraction of species (PDF),kg-P equivalent
ILCD recommended CF,Eutrophication marine midpoint,Potentially Disappeared Fraction of species (PDF),kg-N equivalent
ILCD recommended CF,Eutrophication freshwater endpoint,Potentially Disappeared Fraction of species (PDF),PDF
ILCD recommended CF,Ecotoxicity freshwater midpoint,Comparative Toxic Unit for ecosystems (CTUe),CTUe = PAF.m3.year
ILCD recommended CF,Ecotoxicity freshwater endpoint,Potentially Disappeared Fraction of species (PDF),PDF.m3.year
ILCD recommended CF,"Resource depletion water, midpoint",?,?
ILCD recommended CF,"Resource depletion, mineral, fossils and renewables, midpoint",Quantity of resource available to an average world citizen,Person Reserve
ILCD recommended CF,"Resource depletion, mineral, fossils and renewables, endpoint",Surplus costs,$
