code,name,synonym,unit
Ni_nc_26.0,Ni - non combustion - Glass production,E_Ni_nc_26.0,kg
Ni_nc_58.0,Ni - non combustion - Production of coke oven coke,E_Ni_nc_58.0,kg
Ni_nc_59.0,Ni - non combustion - Production of gascoke,E_Ni_nc_59.0,kg
Ni_nc_69.1,Ni - non combustion - Steel production: basic oxygen furnace,E_Ni_nc_69.1,kg
Ni_nc_69.2,Ni - non combustion - Steel production: electric arc furnace,E_Ni_nc_69.2,kg
Ni_nc_69.3,Ni - non combustion - Steel production: open hearth furnace,E_Ni_nc_69.3,kg
PAH_nc_1.1,PAH - non combustion - Agglomeration plant - pellets,E_PAH_nc_1.1,kg
PAH_nc_1.2,PAH - non combustion - Agglomeration plant - sinter,E_PAH_nc_1.2,kg
PAH_nc_50.0,"PAH - non combustion - Pig iron production, blast furnace",E_PAH_nc_50.0,kg
PAH_nc_58.0,PAH - non combustion - Production of coke oven coke,E_PAH_nc_58.0,kg
PAH_nc_59.0,PAH - non combustion - Production of gascoke,E_PAH_nc_59.0,kg
PAH_nc_69.1,PAH - non combustion - Steel production: basic oxygen furnace,E_PAH_nc_69.1,kg
PAH_nc_69.2,PAH - non combustion - Steel production: electric arc furnace,E_PAH_nc_69.2,kg
PCB_nc_1.1,PCB - non combustion - Agglomeration plant - pellets,E_PCB_nc_1.1,kg
PCB_nc_1.2,PCB - non combustion - Agglomeration plant - sinter,E_PCB_nc_1.2,kg
PCB_nc_50.0,"PCB - non combustion - Pig iron production, blast furnace",E_PCB_nc_50.0,kg
PCB_nc_69.1,PCB - non combustion - Steel production: basic oxygen furnace,E_PCB_nc_69.1,kg
PCB_nc_69.2,PCB - non combustion - Steel production: electric arc furnace,E_PCB_nc_69.2,kg
PCDD/F_nc_1.1,PCDD/F - non combustion - Agglomeration plant - pellets,E_PCDD/F_nc_1.1,kg
PCDD/F_nc_1.2,PCDD/F - non combustion - Agglomeration plant - sinter,E_PCDD/F_nc_1.2,kg
PCDD/F_nc_50.0,"PCDD/F - non combustion - Pig iron production, blast furnace",E_PCDD/F_nc_50.0,kg
