name,synonym,unit
Unused Domestic Extraction - Primary Crops - Wheat,UDE_1.02.001,kt
Unused Domestic Extraction - Primary Crops - Barley,UDE_1.03.001,kt
Unused Domestic Extraction - Primary Crops - Buckwheat,UDE_1.03.002,kt
Unused Domestic Extraction - Primary Crops - Canary Seed,UDE_1.03.003,kt
Unused Domestic Extraction - Primary Crops - Maize,UDE_1.03.004,kt
Unused Domestic Extraction - Primary Crops - Millet,UDE_1.03.005,kt
Unused Domestic Extraction - Primary Crops - Mixed Grain,UDE_1.03.006,kt
Unused Domestic Extraction - Primary Crops - Oats,UDE_1.03.007,kt
Unused Domestic Extraction - Primary Crops - Rye,UDE_1.03.008,kt
Unused Domestic Extraction - Primary Crops - Sorghum,UDE_1.03.009,kt
Unused Domestic Extraction - Primary Crops - Triticale,UDE_1.03.010,kt
Unused Domestic Extraction - Primary Crops - Cereals nec,UDE_1.03.011,kt
Unused Domestic Extraction - Primary Crops - Fonio,UDE_1.03.012,kt
Unused Domestic Extraction - Primary Crops - Quinoa,UDE_1.03.013,kt
Unused Domestic Extraction - Primary Crops - Potatoes,UDE_1.04.001,kt
Unused Domestic Extraction - Primary Crops - Sweet Potatoes,UDE_1.04.002,kt
Unused Domestic Extraction - Primary Crops - Yams,UDE_1.04.003,kt
Unused Domestic Extraction - Primary Crops - Lentils,UDE_1.04.004,kt
Unused Domestic Extraction - Primary Crops - Lupins,UDE_1.04.005,kt
Unused Domestic Extraction - Primary Crops - Vetches,UDE_1.04.006,kt
Unused Domestic Extraction - Primary Crops - Pulses nec,UDE_1.04.007,kt
Unused Domestic Extraction - Primary Crops - Olives,UDE_1.04.008,kt
Unused Domestic Extraction - Primary Crops - Artichokes,UDE_1.04.009,kt
Unused Domestic Extraction - Primary Crops - Asparagus,UDE_1.04.010,kt
Unused Domestic Extraction - Primary Crops - Cabbages,UDE_1.04.011,kt
Unused Domestic Extraction - Primary Crops - Carrots,UDE_1.04.012,kt
Unused Domestic Extraction - Primary Crops - Cauliflower,UDE_1.04.013,kt
"Unused Domestic Extraction - Primary Crops - Chillies and peppers, green",UDE_1.04.014,kt
Unused Domestic Extraction - Primary Crops - Cucumbers and Gherkins,UDE_1.04.015,kt
Unused Domestic Extraction - Primary Crops - Eggplants,UDE_1.04.016,kt
Unused Domestic Extraction - Primary Crops - Garlic,UDE_1.04.017,kt
